Year of arrival at port of disembarkation,Total embarked,Total disembarked
1800,,
1785,408,374
1787,568,520
1788,359,
1799,257,235
1805,347,312
1784,500,448
1788,462,423
1790,438,401
1792,350,345
1793,340,338
1797,419,405
1798,452,414
1800,447,409
1803,398,358
1785,300,299
1789,210,195
1790,309,283
1791,289,265
1793,247,240
1794,263,241
1795,280,264
1806,122,104
1797,,
1792,166,163
1792,170,167
1794,158,157
1798,141,129
1796,119,93
1795,420,406
1796,359,328
1797,417,411
1798,441,404
1799,442,405
1800,285,261
1802,289,260
1802,128,115
1805,298,268
1787,98,91
1789,142,132
1789,209,191
1790,170,156
1792,248,215
1793,330,302
1795,337,311
1797,366,335
1787,51,40
1799,323,296
1800,180,165
1802,214,192
1803,209,188
1780,359,328
1784,317,290
1785,284,260
1786,,
1797,359,
1806,310,279
1807,246,221
1798,185,159
1799,307,263
1805,144,132
1806,273,250
1807,273,250
1800,84,78
1802,171,150
1781,677,620
1783,491,450
1785,590,540
1786,574,526
1788,528,487
1789,362,332
1790,405,371
1791,393,371
1793,385,351
1794,,
1793,265,246
1805,310,
1808,276,248
1798,114,89
1799,297,276
1787,161,150
1788,194,170
1790,138,132
1791,204,187
1792,307,226
1794,259,237
1795,219,200
1788,78,67
1790,99,85
1782,359,328
1783,379,347
1793,284,269
1794,,
1793,350,321
1794,,
1788,45,42
1795,,
1785,118,110
1791,200,197
1792,201,200
1793,225,225
1794,231,215
1796,200,197
1798,427,425
1800,394,361
1759,12,10
1758,352,288
1759,150,128
1760,230,197
1759,70,57
1759,364,297
1759,230,197
1760,64,52
1760,413,337
1760,352,288
1759,,
1759,171,151
1760,230,197
1759,352,288
1761,387,316
1760,,
1760,148,131
1760,102,92
1761,330,268
1761,432,353
1761,210,171
1761,352,287
1762,112,93
1761,230,197
1761,352,288
